,DZD,AOA,ARS,AMD,AUD,EUR,AZN,BHD,BBD,BYN,EUR,BMD,BOB,BAM,BWP,BRL,BGN,CVE,KHR,XAF,CAD,KYD,XAF,CLP,CNY,COP,CDF,XAF,CRC,HRK,EUR,CZK,DKK,DOP,USD,EGP,USD,XAF,EUR,FJD,EUR,EUR,XAF,GEL,EUR,GHS,GIP,EUR,DKK,GTQ,GBP,GYD,HNL,HKD,HUF,ISK,INR,IDR,IQD,EUR,IMP,ILS,EUR,XOF,JMD,JPY,GBP,JOD,KZT,KES,KRW,EUR,KWD,KGS,LAK,EUR,LBP,LYD,CHF,EUR,EUR,MOP,MGA,MWK,MYR,MVR,EUR,MRU,MUR,MXN,MDL,MNT,EUR,MAD,MZN,MMK,NAD,EUR,NZD,NIO,NGN,MKD,NOK,OMR,PKR,"ILS, USD, and JOD",PAB  and USD,PGK,PYG,PEN,PHP,PLN,EUR,USD,QAR,RON,RUB,RWF,XCD,SAR,XOF,RSD,SGD,EUR,EUR,ZAR,EUR,LKR,SZL,SEK,CHF,TWD,TJS,TZS,THB,USD,TTD,TND,TRY,TMT,UGX,UAH,AED,GBP,USD,UYU,UZS,VEF,VND,ZMW,ZWD
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
LBP,DZDLBP,AOALBP,ARSLBP,AMDLBP,AUDLBP,EURLBP,AZNLBP,BHDLBP,BBDLBP,BYNLBP,EURLBP,BMDLBP,BOBLBP,BAMLBP,BWPLBP,BRLLBP,BGNLBP,CVELBP,KHRLBP,XAFLBP,CADLBP,KYDLBP,XAFLBP,CLPLBP,CNYLBP,COPLBP,CDFLBP,XAFLBP,CRCLBP,HRKLBP,EURLBP,CZKLBP,DKKLBP,DOPLBP,USDLBP,EGPLBP,USDLBP,XAFLBP,EURLBP,FJDLBP,EURLBP,EURLBP,XAFLBP,GELLBP,EURLBP,GHSLBP,GIPLBP,EURLBP,DKKLBP,GTQLBP,GBPLBP,GYDLBP,HNLLBP,HKDLBP,HUFLBP,ISKLBP,INRLBP,IDRLBP,IQDLBP,EURLBP,IMPLBP,ILSLBP,EURLBP,XOFLBP,JMDLBP,JPYLBP,GBPLBP,JODLBP,KZTLBP,KESLBP,KRWLBP,EURLBP,KWDLBP,KGSLBP,LAKLBP,EURLBP,1,LYDLBP,CHFLBP,EURLBP,EURLBP,MOPLBP,MGALBP,MWKLBP,MYRLBP,MVRLBP,EURLBP,MRULBP,MURLBP,MXNLBP,MDLLBP,MNTLBP,EURLBP,MADLBP,MZNLBP,MMKLBP,NADLBP,EURLBP,NZDLBP,NIOLBP,NGNLBP,MKDLBP,NOKLBP,OMRLBP,PKRLBP,"ILS, USD, and JODLBP",PAB  and USDLBP,PGKLBP,PYGLBP,PENLBP,PHPLBP,PLNLBP,EURLBP,USDLBP,QARLBP,RONLBP,RUBLBP,RWFLBP,XCDLBP,SARLBP,XOFLBP,RSDLBP,SGDLBP,EURLBP,EURLBP,ZARLBP,EURLBP,LKRLBP,SZLLBP,SEKLBP,CHFLBP,TWDLBP,TJSLBP,TZSLBP,THBLBP,USDLBP,TTDLBP,TNDLBP,TRYLBP,TMTLBP,UGXLBP,UAHLBP,AEDLBP,GBPLBP,USDLBP,UYULBP,UZSLBP,VEFLBP,VNDLBP,ZMWLBP,ZWDLBP
LYD,DZDLYD,AOALYD,ARSLYD,AMDLYD,AUDLYD,EURLYD,AZNLYD,BHDLYD,BBDLYD,BYNLYD,EURLYD,BMDLYD,BOBLYD,BAMLYD,BWPLYD,BRLLYD,BGNLYD,CVELYD,KHRLYD,XAFLYD,CADLYD,KYDLYD,XAFLYD,CLPLYD,CNYLYD,COPLYD,CDFLYD,XAFLYD,CRCLYD,HRKLYD,EURLYD,CZKLYD,DKKLYD,DOPLYD,USDLYD,EGPLYD,USDLYD,XAFLYD,EURLYD,FJDLYD,EURLYD,EURLYD,XAFLYD,GELLYD,EURLYD,GHSLYD,GIPLYD,EURLYD,DKKLYD,GTQLYD,GBPLYD,GYDLYD,HNLLYD,HKDLYD,HUFLYD,ISKLYD,INRLYD,IDRLYD,IQDLYD,EURLYD,IMPLYD,ILSLYD,EURLYD,XOFLYD,JMDLYD,JPYLYD,GBPLYD,JODLYD,KZTLYD,KESLYD,KRWLYD,EURLYD,KWDLYD,KGSLYD,LAKLYD,EURLYD,LBPLYD,1,CHFLYD,EURLYD,EURLYD,MOPLYD,MGALYD,MWKLYD,MYRLYD,MVRLYD,EURLYD,MRULYD,MURLYD,MXNLYD,MDLLYD,MNTLYD,EURLYD,MADLYD,MZNLYD,MMKLYD,NADLYD,EURLYD,NZDLYD,NIOLYD,NGNLYD,MKDLYD,NOKLYD,OMRLYD,PKRLYD,"ILS, USD, and JODLYD",PAB  and USDLYD,PGKLYD,PYGLYD,PENLYD,PHPLYD,PLNLYD,EURLYD,USDLYD,QARLYD,RONLYD,RUBLYD,RWFLYD,XCDLYD,SARLYD,XOFLYD,RSDLYD,SGDLYD,EURLYD,EURLYD,ZARLYD,EURLYD,LKRLYD,SZLLYD,SEKLYD,CHFLYD,TWDLYD,TJSLYD,TZSLYD,THBLYD,USDLYD,TTDLYD,TNDLYD,TRYLYD,TMTLYD,UGXLYD,UAHLYD,AEDLYD,GBPLYD,USDLYD,UYULYD,UZSLYD,VEFLYD,VNDLYD,ZMWLYD,ZWDLYD
CHF,DZDCHF,AOACHF,ARSCHF,AMDCHF,AUDCHF,EURCHF,AZNCHF,BHDCHF,BBDCHF,BYNCHF,EURCHF,BMDCHF,BOBCHF,BAMCHF,BWPCHF,BRLCHF,BGNCHF,CVECHF,KHRCHF,XAFCHF,CADCHF,KYDCHF,XAFCHF,CLPCHF,CNYCHF,COPCHF,CDFCHF,XAFCHF,CRCCHF,HRKCHF,EURCHF,CZKCHF,DKKCHF,DOPCHF,USDCHF,EGPCHF,USDCHF,XAFCHF,EURCHF,FJDCHF,EURCHF,EURCHF,XAFCHF,GELCHF,EURCHF,GHSCHF,GIPCHF,EURCHF,DKKCHF,GTQCHF,GBPCHF,GYDCHF,HNLCHF,HKDCHF,HUFCHF,ISKCHF,INRCHF,IDRCHF,IQDCHF,EURCHF,IMPCHF,ILSCHF,EURCHF,XOFCHF,JMDCHF,JPYCHF,GBPCHF,JODCHF,KZTCHF,KESCHF,KRWCHF,EURCHF,KWDCHF,KGSCHF,LAKCHF,EURCHF,LBPCHF,LYDCHF,1,EURCHF,EURCHF,MOPCHF,MGACHF,MWKCHF,MYRCHF,MVRCHF,EURCHF,MRUCHF,MURCHF,MXNCHF,MDLCHF,MNTCHF,EURCHF,MADCHF,MZNCHF,MMKCHF,NADCHF,EURCHF,NZDCHF,NIOCHF,NGNCHF,MKDCHF,NOKCHF,OMRCHF,PKRCHF,"ILS, USD, and JODCHF",PAB  and USDCHF,PGKCHF,PYGCHF,PENCHF,PHPCHF,PLNCHF,EURCHF,USDCHF,QARCHF,RONCHF,RUBCHF,RWFCHF,XCDCHF,SARCHF,XOFCHF,RSDCHF,SGDCHF,EURCHF,EURCHF,ZARCHF,EURCHF,LKRCHF,SZLCHF,SEKCHF,1,TWDCHF,TJSCHF,TZSCHF,THBCHF,USDCHF,TTDCHF,TNDCHF,TRYCHF,TMTCHF,UGXCHF,UAHCHF,AEDCHF,GBPCHF,USDCHF,UYUCHF,UZSCHF,VEFCHF,VNDCHF,ZMWCHF,ZWDCHF
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
MOP,DZDMOP,AOAMOP,ARSMOP,AMDMOP,AUDMOP,EURMOP,AZNMOP,BHDMOP,BBDMOP,BYNMOP,EURMOP,BMDMOP,BOBMOP,BAMMOP,BWPMOP,BRLMOP,BGNMOP,CVEMOP,KHRMOP,XAFMOP,CADMOP,KYDMOP,XAFMOP,CLPMOP,CNYMOP,COPMOP,CDFMOP,XAFMOP,CRCMOP,HRKMOP,EURMOP,CZKMOP,DKKMOP,DOPMOP,USDMOP,EGPMOP,USDMOP,XAFMOP,EURMOP,FJDMOP,EURMOP,EURMOP,XAFMOP,GELMOP,EURMOP,GHSMOP,GIPMOP,EURMOP,DKKMOP,GTQMOP,GBPMOP,GYDMOP,HNLMOP,HKDMOP,HUFMOP,ISKMOP,INRMOP,IDRMOP,IQDMOP,EURMOP,IMPMOP,ILSMOP,EURMOP,XOFMOP,JMDMOP,JPYMOP,GBPMOP,JODMOP,KZTMOP,KESMOP,KRWMOP,EURMOP,KWDMOP,KGSMOP,LAKMOP,EURMOP,LBPMOP,LYDMOP,CHFMOP,EURMOP,EURMOP,1,MGAMOP,MWKMOP,MYRMOP,MVRMOP,EURMOP,MRUMOP,MURMOP,MXNMOP,MDLMOP,MNTMOP,EURMOP,MADMOP,MZNMOP,MMKMOP,NADMOP,EURMOP,NZDMOP,NIOMOP,NGNMOP,MKDMOP,NOKMOP,OMRMOP,PKRMOP,"ILS, USD, and JODMOP",PAB  and USDMOP,PGKMOP,PYGMOP,PENMOP,PHPMOP,PLNMOP,EURMOP,USDMOP,QARMOP,RONMOP,RUBMOP,RWFMOP,XCDMOP,SARMOP,XOFMOP,RSDMOP,SGDMOP,EURMOP,EURMOP,ZARMOP,EURMOP,LKRMOP,SZLMOP,SEKMOP,CHFMOP,TWDMOP,TJSMOP,TZSMOP,THBMOP,USDMOP,TTDMOP,TNDMOP,TRYMOP,TMTMOP,UGXMOP,UAHMOP,AEDMOP,GBPMOP,USDMOP,UYUMOP,UZSMOP,VEFMOP,VNDMOP,ZMWMOP,ZWDMOP
MGA,DZDMGA,AOAMGA,ARSMGA,AMDMGA,AUDMGA,EURMGA,AZNMGA,BHDMGA,BBDMGA,BYNMGA,EURMGA,BMDMGA,BOBMGA,BAMMGA,BWPMGA,BRLMGA,BGNMGA,CVEMGA,KHRMGA,XAFMGA,CADMGA,KYDMGA,XAFMGA,CLPMGA,CNYMGA,COPMGA,CDFMGA,XAFMGA,CRCMGA,HRKMGA,EURMGA,CZKMGA,DKKMGA,DOPMGA,USDMGA,EGPMGA,USDMGA,XAFMGA,EURMGA,FJDMGA,EURMGA,EURMGA,XAFMGA,GELMGA,EURMGA,GHSMGA,GIPMGA,EURMGA,DKKMGA,GTQMGA,GBPMGA,GYDMGA,HNLMGA,HKDMGA,HUFMGA,ISKMGA,INRMGA,IDRMGA,IQDMGA,EURMGA,IMPMGA,ILSMGA,EURMGA,XOFMGA,JMDMGA,JPYMGA,GBPMGA,JODMGA,KZTMGA,KESMGA,KRWMGA,EURMGA,KWDMGA,KGSMGA,LAKMGA,EURMGA,LBPMGA,LYDMGA,CHFMGA,EURMGA,EURMGA,MOPMGA,1,MWKMGA,MYRMGA,MVRMGA,EURMGA,MRUMGA,MURMGA,MXNMGA,MDLMGA,MNTMGA,EURMGA,MADMGA,MZNMGA,MMKMGA,NADMGA,EURMGA,NZDMGA,NIOMGA,NGNMGA,MKDMGA,NOKMGA,OMRMGA,PKRMGA,"ILS, USD, and JODMGA",PAB  and USDMGA,PGKMGA,PYGMGA,PENMGA,PHPMGA,PLNMGA,EURMGA,USDMGA,QARMGA,RONMGA,RUBMGA,RWFMGA,XCDMGA,SARMGA,XOFMGA,RSDMGA,SGDMGA,EURMGA,EURMGA,ZARMGA,EURMGA,LKRMGA,SZLMGA,SEKMGA,CHFMGA,TWDMGA,TJSMGA,TZSMGA,THBMGA,USDMGA,TTDMGA,TNDMGA,TRYMGA,TMTMGA,UGXMGA,UAHMGA,AEDMGA,GBPMGA,USDMGA,UYUMGA,UZSMGA,VEFMGA,VNDMGA,ZMWMGA,ZWDMGA
MWK,DZDMWK,AOAMWK,ARSMWK,AMDMWK,AUDMWK,EURMWK,AZNMWK,BHDMWK,BBDMWK,BYNMWK,EURMWK,BMDMWK,BOBMWK,BAMMWK,BWPMWK,BRLMWK,BGNMWK,CVEMWK,KHRMWK,XAFMWK,CADMWK,KYDMWK,XAFMWK,CLPMWK,CNYMWK,COPMWK,CDFMWK,XAFMWK,CRCMWK,HRKMWK,EURMWK,CZKMWK,DKKMWK,DOPMWK,USDMWK,EGPMWK,USDMWK,XAFMWK,EURMWK,FJDMWK,EURMWK,EURMWK,XAFMWK,GELMWK,EURMWK,GHSMWK,GIPMWK,EURMWK,DKKMWK,GTQMWK,GBPMWK,GYDMWK,HNLMWK,HKDMWK,HUFMWK,ISKMWK,INRMWK,IDRMWK,IQDMWK,EURMWK,IMPMWK,ILSMWK,EURMWK,XOFMWK,JMDMWK,JPYMWK,GBPMWK,JODMWK,KZTMWK,KESMWK,KRWMWK,EURMWK,KWDMWK,KGSMWK,LAKMWK,EURMWK,LBPMWK,LYDMWK,CHFMWK,EURMWK,EURMWK,MOPMWK,MGAMWK,1,MYRMWK,MVRMWK,EURMWK,MRUMWK,MURMWK,MXNMWK,MDLMWK,MNTMWK,EURMWK,MADMWK,MZNMWK,MMKMWK,NADMWK,EURMWK,NZDMWK,NIOMWK,NGNMWK,MKDMWK,NOKMWK,OMRMWK,PKRMWK,"ILS, USD, and JODMWK",PAB  and USDMWK,PGKMWK,PYGMWK,PENMWK,PHPMWK,PLNMWK,EURMWK,USDMWK,QARMWK,RONMWK,RUBMWK,RWFMWK,XCDMWK,SARMWK,XOFMWK,RSDMWK,SGDMWK,EURMWK,EURMWK,ZARMWK,EURMWK,LKRMWK,SZLMWK,SEKMWK,CHFMWK,TWDMWK,TJSMWK,TZSMWK,THBMWK,USDMWK,TTDMWK,TNDMWK,TRYMWK,TMTMWK,UGXMWK,UAHMWK,AEDMWK,GBPMWK,USDMWK,UYUMWK,UZSMWK,VEFMWK,VNDMWK,ZMWMWK,ZWDMWK
MYR,DZDMYR,AOAMYR,ARSMYR,AMDMYR,AUDMYR,EURMYR,AZNMYR,BHDMYR,BBDMYR,BYNMYR,EURMYR,BMDMYR,BOBMYR,BAMMYR,BWPMYR,BRLMYR,BGNMYR,CVEMYR,KHRMYR,XAFMYR,CADMYR,KYDMYR,XAFMYR,CLPMYR,CNYMYR,COPMYR,CDFMYR,XAFMYR,CRCMYR,HRKMYR,EURMYR,CZKMYR,DKKMYR,DOPMYR,USDMYR,EGPMYR,USDMYR,XAFMYR,EURMYR,FJDMYR,EURMYR,EURMYR,XAFMYR,GELMYR,EURMYR,GHSMYR,GIPMYR,EURMYR,DKKMYR,GTQMYR,GBPMYR,GYDMYR,HNLMYR,HKDMYR,HUFMYR,ISKMYR,INRMYR,IDRMYR,IQDMYR,EURMYR,IMPMYR,ILSMYR,EURMYR,XOFMYR,JMDMYR,JPYMYR,GBPMYR,JODMYR,KZTMYR,KESMYR,KRWMYR,EURMYR,KWDMYR,KGSMYR,LAKMYR,EURMYR,LBPMYR,LYDMYR,CHFMYR,EURMYR,EURMYR,MOPMYR,MGAMYR,MWKMYR,1,MVRMYR,EURMYR,MRUMYR,MURMYR,MXNMYR,MDLMYR,MNTMYR,EURMYR,MADMYR,MZNMYR,MMKMYR,NADMYR,EURMYR,NZDMYR,NIOMYR,NGNMYR,MKDMYR,NOKMYR,OMRMYR,PKRMYR,"ILS, USD, and JODMYR",PAB  and USDMYR,PGKMYR,PYGMYR,PENMYR,PHPMYR,PLNMYR,EURMYR,USDMYR,QARMYR,RONMYR,RUBMYR,RWFMYR,XCDMYR,SARMYR,XOFMYR,RSDMYR,SGDMYR,EURMYR,EURMYR,ZARMYR,EURMYR,LKRMYR,SZLMYR,SEKMYR,CHFMYR,TWDMYR,TJSMYR,TZSMYR,THBMYR,USDMYR,TTDMYR,TNDMYR,TRYMYR,TMTMYR,UGXMYR,UAHMYR,AEDMYR,GBPMYR,USDMYR,UYUMYR,UZSMYR,VEFMYR,VNDMYR,ZMWMYR,ZWDMYR
MVR,DZDMVR,AOAMVR,ARSMVR,AMDMVR,AUDMVR,EURMVR,AZNMVR,BHDMVR,BBDMVR,BYNMVR,EURMVR,BMDMVR,BOBMVR,BAMMVR,BWPMVR,BRLMVR,BGNMVR,CVEMVR,KHRMVR,XAFMVR,CADMVR,KYDMVR,XAFMVR,CLPMVR,CNYMVR,COPMVR,CDFMVR,XAFMVR,CRCMVR,HRKMVR,EURMVR,CZKMVR,DKKMVR,DOPMVR,USDMVR,EGPMVR,USDMVR,XAFMVR,EURMVR,FJDMVR,EURMVR,EURMVR,XAFMVR,GELMVR,EURMVR,GHSMVR,GIPMVR,EURMVR,DKKMVR,GTQMVR,GBPMVR,GYDMVR,HNLMVR,HKDMVR,HUFMVR,ISKMVR,INRMVR,IDRMVR,IQDMVR,EURMVR,IMPMVR,ILSMVR,EURMVR,XOFMVR,JMDMVR,JPYMVR,GBPMVR,JODMVR,KZTMVR,KESMVR,KRWMVR,EURMVR,KWDMVR,KGSMVR,LAKMVR,EURMVR,LBPMVR,LYDMVR,CHFMVR,EURMVR,EURMVR,MOPMVR,MGAMVR,MWKMVR,MYRMVR,1,EURMVR,MRUMVR,MURMVR,MXNMVR,MDLMVR,MNTMVR,EURMVR,MADMVR,MZNMVR,MMKMVR,NADMVR,EURMVR,NZDMVR,NIOMVR,NGNMVR,MKDMVR,NOKMVR,OMRMVR,PKRMVR,"ILS, USD, and JODMVR",PAB  and USDMVR,PGKMVR,PYGMVR,PENMVR,PHPMVR,PLNMVR,EURMVR,USDMVR,QARMVR,RONMVR,RUBMVR,RWFMVR,XCDMVR,SARMVR,XOFMVR,RSDMVR,SGDMVR,EURMVR,EURMVR,ZARMVR,EURMVR,LKRMVR,SZLMVR,SEKMVR,CHFMVR,TWDMVR,TJSMVR,TZSMVR,THBMVR,USDMVR,TTDMVR,TNDMVR,TRYMVR,TMTMVR,UGXMVR,UAHMVR,AEDMVR,GBPMVR,USDMVR,UYUMVR,UZSMVR,VEFMVR,VNDMVR,ZMWMVR,ZWDMVR
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
MRU,DZDMRU,AOAMRU,ARSMRU,AMDMRU,AUDMRU,EURMRU,AZNMRU,BHDMRU,BBDMRU,BYNMRU,EURMRU,BMDMRU,BOBMRU,BAMMRU,BWPMRU,BRLMRU,BGNMRU,CVEMRU,KHRMRU,XAFMRU,CADMRU,KYDMRU,XAFMRU,CLPMRU,CNYMRU,COPMRU,CDFMRU,XAFMRU,CRCMRU,HRKMRU,EURMRU,CZKMRU,DKKMRU,DOPMRU,USDMRU,EGPMRU,USDMRU,XAFMRU,EURMRU,FJDMRU,EURMRU,EURMRU,XAFMRU,GELMRU,EURMRU,GHSMRU,GIPMRU,EURMRU,DKKMRU,GTQMRU,GBPMRU,GYDMRU,HNLMRU,HKDMRU,HUFMRU,ISKMRU,INRMRU,IDRMRU,IQDMRU,EURMRU,IMPMRU,ILSMRU,EURMRU,XOFMRU,JMDMRU,JPYMRU,GBPMRU,JODMRU,KZTMRU,KESMRU,KRWMRU,EURMRU,KWDMRU,KGSMRU,LAKMRU,EURMRU,LBPMRU,LYDMRU,CHFMRU,EURMRU,EURMRU,MOPMRU,MGAMRU,MWKMRU,MYRMRU,MVRMRU,EURMRU,1,MURMRU,MXNMRU,MDLMRU,MNTMRU,EURMRU,MADMRU,MZNMRU,MMKMRU,NADMRU,EURMRU,NZDMRU,NIOMRU,NGNMRU,MKDMRU,NOKMRU,OMRMRU,PKRMRU,"ILS, USD, and JODMRU",PAB  and USDMRU,PGKMRU,PYGMRU,PENMRU,PHPMRU,PLNMRU,EURMRU,USDMRU,QARMRU,RONMRU,RUBMRU,RWFMRU,XCDMRU,SARMRU,XOFMRU,RSDMRU,SGDMRU,EURMRU,EURMRU,ZARMRU,EURMRU,LKRMRU,SZLMRU,SEKMRU,CHFMRU,TWDMRU,TJSMRU,TZSMRU,THBMRU,USDMRU,TTDMRU,TNDMRU,TRYMRU,TMTMRU,UGXMRU,UAHMRU,AEDMRU,GBPMRU,USDMRU,UYUMRU,UZSMRU,VEFMRU,VNDMRU,ZMWMRU,ZWDMRU
